1929 or 1989?	1929年还是1989年?
PARIS – As the economic crisis deepens and widens, the world has been searching for historical analogies to help us understand what has been happening.	巴黎-随着经济危机不断加深和蔓延，整个世界一直在寻找历史上的类似事件希望有助于我们了解目前正在发生的情况。
At the start of the crisis, many people likened it to 1982 or 1973, which was reassuring, because both dates refer to classical cyclical downturns.	一开始，很多人把这次危机比作1982年或1973年所发生的情况，这样得类比是令人宽心的，因为这两段时期意味着典型的周期性衰退。
Today, the mood is much grimmer, with references to 1929 and 1931 beginning to abound, even if some governments continue to behave as if the crisis was more classical than exceptional.	如今人们的心情却是沉重多了，许多人开始把这次危机与1929年和1931年相比，即使一些国家政府的表现仍然似乎把视目前的情况为是典型的而看见的衰退。
The tendency is either excessive restraint (Europe) or a diffusion of the effort (the United States).	目前的趋势是，要么是过度的克制（欧洲），要么是努力的扩展（美国）。
Europe is being cautious in the name of avoiding debt and defending the euro, whereas the US has moved on many fronts in order not to waste an ideal opportunity to implement badly needed structural reforms.	欧洲在避免债务和捍卫欧元的名义下正变得谨慎，而美国已经在许多方面行动起来，以利用这一理想的时机来实行急需的结构性改革。
Of course, the fall of the house of Lehman Brothers has nothing to do with the fall of the Berlin Wall.	当然，雷曼兄弟公司的倒闭和柏林墙的倒塌没有任何关系。
Indeed, on the surface it seems to be its perfect antithesis: the collapse of a wall symbolizing oppression and artificial divisions versus the collapse of a seemingly indestructible and reassuring institution of financial capitalism.	事实上，从表面上看，两者似乎是完全是相反的：一个是象征着压抑和人为分裂的柏林墙的倒塌，而另一个是看似坚不可摧的并令人安心的金融资本主义机构的倒塌。
The end of the East-West ideological divide and the end of absolute faith in markets are historical turning points.	东西方意识形态鸿沟的结束，以及对市场绝对信心的后果，都是历史的转折点。
For many of his supporters, it was President Ronald Reagan who, with his deliberate escalation of the arms race, pushed the Soviet economy to the brink, thereby fully demonstrating the superiority of liberal societies and free markets.	对于里根总统的许多的支持者来说，就是他精心策划的军备竞赛的升级，把苏联经济推向了崩溃的边缘，从而充分显示了自由社会和自由市场的优越性。
By contrast, 2009 is likely to pave the way to a new form of bipolarity, but with China substituting for the Soviet Union.	与此相反，2009年很可能会为一种新的两极化形式铺平道路，只是中国取代了苏联。
Everyone seems to be a loser, even if some are more affected than others.	每个人似乎都是输家，即使有些国家比其它国家受到的影响更大。
Yet, history is unfair, and the US, despite its greater responsibility for today’s global crisis, may emerge in better shape than most countries from the morass.	而历史是不公平的。 尽管美国要为当今的全球危机负更大的责任，但美国可能会比大多数国家以更良好的势态走出困境。
In better shape, but not alone.	美国会恢复得更好，但并不是唯一能恢复的国家。
As a visiting professor at Harvard and MIT, I am getting a good preview of what the world could look like when the crisis finally passes.	作为哈佛大学和麻省理工学院的访问教授，我能看到危机过后的世界是什么样子的。
One senses something like the making of an American-Asian dominated universe.	我们能感受到一个美国和亚洲占主导地位的世界正在形成。
