This is Bill Lange. I'm Dave Gallo.	大卫.盖罗：这位是比尔.兰格， 我是大卫.盖罗。
And we're going to tell you some stories from the sea here in video.	我们将用一些影片来讲述一些深海里的故事。
We've got some of the most incredible video of Titanic that's ever been seen, and we're not going to show you any of it.	我们这有不少精彩的泰坦尼克的影片， 可惜您今天看不到。
The truth of the matter is that the Titanic -- even though it's breaking all sorts of box office records -- it's not the most exciting story from the sea.	泰坦尼克号 是拿了不少票房冠军 但事实上它并不是关于海洋的最刺激的故事。
And the problem, I think, is that we take the ocean for granted.	原因在于我们一直没把海洋当回事儿。
When you think about it, the oceans are 75 percent of the planet.	大家想想，海洋占了地球面积的75％。
Most of the planet is ocean water.	地球的大部分都是海水。
The average depth is about two miles.	海洋的平均深度是两英里
Part of the problem, I think, is we stand at the beach, or we see images like this of the ocean, and you look out at this great big blue expanse, and it's shimmering and it's moving and there's waves and there's surf and there's tides, but you have no idea for what lies in there.	当你站在海滩上 或是当你看到海洋里的图像， 当你看着这么一大片蓝色，它泛着光， 不断地变动着，一会儿是海浪，一会儿是波涛， 一会儿又涨潮， 你却不知道它里面到底有些什么。
And in the oceans, there are the longest mountain ranges on the planet.	其实地球上最长的山脉都在海洋里。
Most of the animals are in the oceans.	大部分的动物也都生活在海洋里。
Most of the earthquakes and volcanoes are in the sea, at the bottom of the sea.	大多数地震和火山喷发也都发生在海洋里 在海洋的最底部。
The biodiversity and the biodensity in the ocean is higher, in places, than it is in the rainforests.	海洋里生物的多样性和密度要比 雨林带还高。
It's mostly unexplored, and yet there are beautiful sights like this that captivate us and make us become familiar with it.	这儿基本上都没有被开发过，但是像这些美丽的景色， 它吸引着我们并被我们所熟知。
But when you're standing at the beach, I want you to think that you're standing at the edge of a very unfamiliar world.	但我想告诉你的是，当你站在海边时， 你面对的是一个完全陌生的世界。
We have to have a very special technology to get into that unfamiliar world.	我们得用非常特殊的仪器 才能到达那个陌生的世界。
We use the submarine Alvin and we use cameras, and the cameras are something that Bill Lange has developed with the help of Sony.	我们用的是深海潜水艇Alvin号和摄像机， 摄像机是比尔.兰格和索尼共同研发的。
Marcel Proust said, "The true voyage of discovery is not so much in seeking new landscapes as in having new eyes."	马塞尔.普鲁斯特说过："真正的探索之旅 不是为了新的发现，而是为了找到新的视角。"
People that have partnered with us have given us new eyes, not only on what exists -- the new landscapes at the bottom of the sea -- but also how we think about life on the planet itself.	和我们合作的人们帮我们找到了新的视角， 我们不仅看到了哪些已经存在的 那些深海里的景观， 同时我们也重新认识了生命本身。
Here's a jelly.	这是一只水母。
It's one of my favorites, because it's got all sorts of working parts.	是我最喜欢的，因为它哪都能动。
This turns out to be the longest creature in the oceans.	原来它是海洋中最长的生物。
It gets up to about 150 feet long.	它可以伸展到150英尺长。
But see all those different working things?	看到这些在动的东西了吗？
I love that kind of stuff.	我真喜欢这些东西。
It's got these fishing lures on the bottom. They're going up and down.	底下这些都是鱼饵。它们上上下下的浮动。
It's got tentacles dangling, swirling around like that.	还有这些摇晃着，旋转着的触角。
It's a colonial animal.	这是一种群栖动物。
These are all individual animals banding together to make this one creature.	其实它们都是由单独的动物， 结合在一起就成了这样大的一个生物。
And it's got these jet thrusters up in front that it'll use in a moment, and a little light.	还有前面的这个是推进引擎。 它一会儿会用到它，还有一些光。
If you take all the big fish and schooling fish and all that, put them on one side of the scale, put all the jelly-type of animals on the other side, those guys win hands down.	如果你把所有的鱼类， 放在天平的一端，然后把所有水母状的动物 放在另一端，水母那边要重的多。
Most of the biomass in the ocean is made out of creatures like this.	大多数的海洋生物都是由这类生物。
Here's the X-wing death jelly.	这只是x翼死亡水母。
The bioluminescence -- they use the lights for attracting mates and attracting prey and communicating.	它们用这种生物荧光来吸引伴侣， 食物和交流。
We couldn't begin to show you our archival stuff from the jellies.	我们没办法从我们档案中的水母介绍起。
They come in all different sizes and shapes.	它们大小不同，形状各异。
We tend to forget about the fact that the ocean is miles deep on average, and that we're real familiar with the animals that are in the first 200 or 300 feet, but we're not familiar with what exists from there all the way down to the bottom.	比尔.兰格：我们通常忘了海洋平均有好几英里深， 我们对于 两三百尺深处的动物很了解， 但从那往下就不太知道了。
And these are the types of animals that live in that three-dimensional space, that micro-gravity environment that we really haven't explored.	而像这样的动物 就生活在 我们没有探索过的微重力的三维空间里。
You hear about giant squid and things like that, but some of these animals get up to be approximately 140, 160 feet long.	你一定听说过巨型章鱼之类的东西。 但像这样的动物可以伸张到140到160英尺长。
They're very little understood.	它们还没有被研究透。
This is one of them, another one of our favorites, because it's a little octopod.	大卫：这也是其中之一，是我们另一个最爱，一个小的八爪鱼。
You can actually see through his head.	你真的能看穿它的脑袋。
And here he is, flapping with his ears and very gracefully going up.	它的耳朵在上下摆动，还很优雅地向上游着。
We see those at all depths and even at the greatest depths.	我们能在不同深度，甚至最深处看到这样的动物。
They go from a couple of inches to a couple of feet.	它们有的几英尺长，有的几尺长。
They come right up to the submarine -- they'll put their eyes right up to the window and peek inside the sub.	它们有的会贴近潜水艇－－ 它们的眼睛会贴着潜水艇的窗口向里看。
This is really a world within a world, and we're going to show you two.	这里的世界中还有另一个世界， 我们将给您介绍两个。
In this case, we're passing down through the mid-ocean and we see creatures like this.	像这一个，当我们到达了中海一下就能看见像这样子的物种。
This is kind of like an undersea rooster.	它看起来有点像深海里的公鸡。
This guy, that looks incredibly formal, in a way.	看这个，它看起来真的太正经了。
And then one of my favorites. What a face!	还有这也是我的最爱之一。看这张脸！
This is basically scientific data that you're looking at.	你们看到的这些基本上都是科学数据。
It's footage that we've collected for scientific purposes.	它们都是我们为了科学研究而收集的影片。
And that's one of the things that Bill's been doing, is providing scientists with this first view of animals like this, in the world where they belong.	这个是比尔正在做的， 为了让科学家们看到这些第一手材料 这些在它们生存的环境中获取的。
They don't catch them in a net.	他们不会用鱼网来捕这些生物。
They're actually looking at them down in that world.	他们会在它们的世界中观察它们。
We're going to take a joystick, sit in front of our computer, on the Earth, and press the joystick forward, and fly around the planet.	我们会用一个控制杆， 在地面上我们只用坐在电脑前， 移动控制杆就能环游地球了。
We're going to look at the mid-ocean ridge, a 40,000-mile long mountain range.	现在我们看一个海中央的山脊。 一个40，000英里长的山脉。
The average depth at the top of it is about a mile and a half.	这些山脉顶端的平均深度都有1.5英里。
And we're over the Atlantic -- that's the ridge right there -- but we're going to go across the Caribbean, Central America, and end up against the Pacific, nine degrees north.	我们已走遍了大西洋－－那就是山脊， 现在我们要穿过加勒比海，中美洲， 最后到达太平洋，北纬九度。
We make maps of these mountain ranges with sound, with sonar, and this is one of those mountain ranges.	我们用声纳来制作这些山脊的地图， 这是这些山脊中的一个。
We're coming around a cliff here on the right.	我们现在向右转过一个悬崖。
The height of these mountains on either side of this valley is greater than the Alps in most cases.	这些山脉两侧山谷的高度 大多数都比阿尔卑斯山脉还要高。
And there's tens of thousands of those mountains out there that haven't been mapped yet.	这里还有成千上万的山脉不在地图上。
This is a volcanic ridge.	这是一个火山脊。
We're getting down further and further in scale.	我们现在往更深处走。
And eventually, we can come up with something like this.	最终我们会看到像这样的东西。
This is an icon of our robot, Jason, it's called.	这是最具代表性的一个机器人－他叫杰森。
And you can sit in a room like this, with a joystick and a headset, and drive a robot like that around the bottom of the ocean in real time.	你会坐在这样的一间房间里， 用遥控杆和耳机来这样驾驶机器人 同时机器人在海底行走。
One of the things we're trying to do at Woods Hole with our partners is to bring this virtual world -- this world, this unexplored region -- back to the laboratory.	在伍兹霍尔，我们还希望和我们的合伙人 把这个虚拟的世界－－ 这个未曾背发掘的地带－带回实验室里。
Because we see it in bits and pieces right now.	因为我们现在看到的都是些点滴片断。
We see it either as sound, or we see it as video, or we see it as photographs, or we see it as chemical sensors, but we never have yet put it all together into one interesting picture.	我们获取了一些声音，一些影象， 或是一些图片，或是一些化学成分 －－但我们从没把它们放在一块来看。
Here's where Bill's cameras really do shine.	这里是比尔的相机真正出彩的地方。
This is what's called a hydrothermal vent.	我们叫这个热泉喷出口。
And what you're seeing here is a cloud of densely packed, hydrogen-sulfide-rich water coming out of a volcanic axis on the sea floor.	您现在看到的是一团密度很高的 强硫化氫液体 从海底的火山中轴喷出。
Gets up to 600, 700 degrees F, somewhere in that range.	有时可以达到600到700华氏度。
So that's all water under the sea -- a mile and a half, two miles, three miles down.	这些都是海水中的液体－ 一点五英里，两英里，三英里深。
And we knew it was volcanic back in the '60s, '70s.	六七十年代时我们只知道这是一座火山。
