label	text_a
0	出乎意料的好，坏的一个也没有，而且几乎没有压伤的果子，快递送到楼下。第一次在京东买生鲜，这么一看，在京东买生鲜也很靠谱的，比自己跑去超市买，不仅省事，而且省钱，同价位的苹果，超市这个价可买不到。京东有自己的物流就是赞，知道要爱惜每一件包裹，比起其他物流公司好太多了
1	每一个都是酸的。苹果不是又香又甜吗？难道我买到假的了？
1	昨天下单不送套和模，今天就送，害的多花*买模钱。 昨天下单不送套和模，今天就送，害的多花*买模钱。
1	我买的时候明明前面显示赠送钢化膜的，结果什么都没送，客服MM让我费心自己买个贴上，这不是废话吗？京东还是屁事不少！以后华为的东西还是去官网买！！！！客服电话那么难接通，也是醉了。 果然店大欺客！！！失望！
1	本来实在搞活动时候*瓶拍的，付钱之后才发现*一瓶，很郁闷
0	京东的忠粉，多次购买了，赞赞赞。
1	这个太卡了，骁龙616还不如骁龙615呢
0	如果中餐再丰富一些就好了，一个人吃中餐没有找到合适的地方。西餐不错
1	房间比较脏，尤其是地毯，像80年代的东西。最令人难以忍受的是早餐，由于有旅行团，人比较多，而酒店也不加强管理，自助早餐就像抢早餐，因为不抢的话盘子就空了。哈哈！我很多年没见过这阵势了。
1	本以为京东送货能快些，结果慢的要命，天天为这点破事打电话 差评 差评
0	价廉物美的好选择，晚上到机住十分合适，服务很热情，房间没地毯很清爽，海景很好看
1	垃圾 屏幕放电影老闪光 用了几天才来评论的
1	这也太小了吧，170的身高，买的175的还小的不能穿，你们家都是柳条啊？尺寸能不能想办法搞定啊
1	手机使用一般，不能玩游戏，不能长时间看视频，屏大也没有啊！因为，后壳扬声器的地方发热厉害，会烫手！
1	一周内第二次购买同款了，谁知这次却遇到了！昨晚下单今天上午就到了，正在感概京东超快，却不想拆封后意外了，白色外盒上面很大一块坑坑洼洼，一个角撞塌陷了，里面装数据线的地方盒子也是坏的！关键是我必须马上装软件，下午就要送给一个重要的领导，来不及换退货了，京东客户谈半天，给出的解决办法基本都是让我自认倒霉！比如，送我价值20的京豆，让我自己去实体店买个包装，试问，20能买到吗？说有专员联系我处理！却一直没消息！京东！京东！我都怀疑你们这货是不是返修的哟！内盒都有坏的啊！京东，太辜负我们的信任了！！！
1	实在是太一般了，硬件不行，软件也差！
0	套装收，还不错，什么都有，齐全了，好批，沙宣一直很棒，
1	颜色不一样 差评 说好的发票催了几次也不给
0	多次购买，华为国产大牌，荣耀！！！！
0	12月在金泉住了几天，开始订的豪华商务小套房，后来换了个商务标间，感觉性价比更好：两种房间大小差不太多，可以向酒店免费租一个猫，通过电源线上网，上网速度挺快。
1	手机刚买了两天就开始出现死机的现象，国人不是不愿意购买国产手机，而是国产手机真的不行，望厂家还要把手机系统做的更完美一些
1	4个萍果，2个烂心，口感一般，什么烂萍果，还潘萍果，丢人
1	大堂大门口的平开合式的塑钢门边缘很锋利，没有进行任何的软性保护包装，也没有警示提醒，导致11日进入时手指夹伤。尽管大堂经理马上帮助进行了包扎处理。仍旧觉得安全之事无小事，这些细节是体现管理水准的重要地方。已经再三告知酒店管理人员，尽快做出修整处理，防止类似情况发生。
1	有一个烂了，这批次的不新鲜！有无的赔？？？
