label	text_a
1	气死姐姐了，快二是阵亡了吗，尼玛，一个半小时过去了也没上车
2	妞妞啊，今天又承办了一个发文登记文号是126~嘻~么么哒~晚安哟
0	这里还值得注意另一个事实，就是张鞠存原有一个东溪草堂为其读书处。
0	这在前华约国家(尤其是东德)使用R-73的首次联合演习期间，被一些北约组织的飞行员所证实。
5	TinyThief上wii了？！
1	每天都以紧张的心情工作，真的是太累，太不放松了，想要爆发一下
1	语文军，数学军，英语军，物理军，政治军，历史军，生物军，地理军，八科联军，侵犯我班，我班战败，被迫签订家长会条约，赔偿给老师总结1000字，学校为使馆界，派各科老师看守，不准我班随意出去，割美术课，体育课，音乐课，活动课给班主任，开放监控设备，下课时间由联军商定！同学们该起义
3	我不是一个优秀的演员……不能微笑着旁观你们幸福。
2	当你变优秀时，你想要的都会来找你
2	累了一天！会宿舍听下我搞基新歌！在看看我段宜恩美图！心都被治愈了
1	劳资也能遇到这种人。滚你妈逼的。狗都不如。艹
1	四年，又是四年！中国球迷，有几个四年可以任你挥霍！我去年买了个表！
2	前几天爸爸带回来的大鱼，10斤。
4	可怕的噩梦…不知道我描述的清不…在做梦　梦里的我也在睡梦中…做梦的我梦里还是在做梦…起先我第一次醒来以为自己醒了但其实是在另一个梦里…于是我开始怕了　我用尽全力挣扎　让自己从一个又一个噩梦里醒来　发觉一直没有尽头　因为它们都有一个共同特点　那就都是黑夜　而我知道真正醒来该是白天…
0	跟一群维族在一起喝酒，醉的一塌糊涂。。
1	尼玛币啊！我暴躁了！这个事情,之前看过一个新闻,是一个孕妇,也是差不多的原因,因为想让她男人得到满足,祸害其他小姑娘！最后给那女生弄死了！真妈的不是好人！不怕遭天谴吗？！
3	昨晚又梦见你，骑着电瓶车载你。很甜。吃中饭偶遇你。不知道该不该挽回，不挽回会不会后悔。以后一起去食堂吃饭好不好。
4	事实……我也害怕也有恐惧担心……因为见过太多婚姻中的家庭那种委屈看着都怕了
1	那些爱造谣的长舌妇们，我结婚生娃你怎么知道的，我都不知道
2	外日看日剧一不小心看到这个点了legalhigh真的好好看啊三观好正啊本来从小就向往律师这个职业的我真的好喜欢这个剧啊而且女主角是gakki啊啊啊啊萌哭我好想在她犯傻的时候摸摸她的头
3	韩国漫画，妻子的记忆，结尾让人流泪。
1	太忙的一天体育课选了个跆拳道韧带拉的宝宝快炸了英语听说老师全程英语快递一下来五个宝宝快累死
2	能帮助麦当娜把她心中的电影拍摄出来，其实也是件很好的事情。
1	儿子生意不景气，工作不顺心受气，刚刚听他说这些的时候真的挺上火的，尤其是工作上受气，等我以后有能力了我要让那些让他受气的人吃不了兜着走
3	两张图片。呵呵，猜到了。宁愿不这么聪明。是我自己自讨苦吃。蒙蔽了双眼。果然啊。呵呵，呵呵，还跟个傻逼似得相信别人。真相来的太早。
1	为什么既不来找我，也不和我分手
1	忍一忍忍一忍忍一忍此时此刻我的内心是崩溃的
3	总会有不想追逐的时候，总会有不被理解的时候，总会有委屈辛酸的时候。
0	3.分泌物较多且创面较深时，宜用生理盐水冲洗，如坏死组织较多，可用攸锁或其他消毒溶液冲洗。
0	  .co域名..co是国家顶级域名（ccTLD），国际通用，是英文"Corporation、Company"（商业公司）的缩写，含义明确、简单易记，方便公众理解。
0	继杨爱瑾与傅颖之后，现Cookies四位成员均已离开金牌大风。
2	清晨醒来，发现外面下着雨感觉好有诗意
1	我用4G网看了两集《北上广不相信眼泪》才发现没开无线网，气死宝宝了
