label	text_a
2	天使
2	致敬[心][心]小凡也要做好防护措施哦//@Mr_凡先生:致敬[心]大家出门记得戴口罩
2	[中国赞][中国赞][中国赞]
3	悲壮
2	！！！一定会好起来
0	我看到有人说，婆婆你这两天发那么多新型冠状病毒的消息我们很慌啊。 不要慌。 我之所以发这么多关于这件事的信息，就是因为在我看来所有的恐慌都来自于未知。 只有及时有效的公开最新信息，让公众全面及时的了解事情的真相和进展，才能做到不慌。知道发生了什么，知道怎么避免发生
2	愿平安//@烊家军:致敬，辛苦啦，愿平安！
2	马毛都是温暖的人啊#马嘉祺公益祺迹#
2	正视恐惧也要看到希望???
2	平安平安?//@努力努力再努力x:#抗击新型肺炎第一线# 致敬伟大的逆行者们 一定要平平安安[心]
2	武汉加油！中国加油！安徽加油！
4	山火暴雨肺炎流感渐暖的冬夜这世界是要毁灭了吗 ??
2	[给力][睡][爱你]哇，很赞呢，[围观]
2	[偷笑]这么萌的照片，我收藏了
1	#武汉15名医务人员感染新型冠状病毒#认真说，之前媒体官方一直都说可控根本就是骗人的吧，已经要请钟南山出马那说明应该非常严重，15名医护人员怎么可能一夜之间冒出来，说明就是早就有医护人员被感染但是没有通报。细挑0121。然之前就有医护人员被传染何来的可控和有限人传人？已知从武汉回家的那批人已经有人 ...全文
5	为什么泰国治愈率这么高//@英伦圈:???
0	请问，酒精灭活，如果是75％的酒精喷雾，管用吗？还是必须酒精浸泡30分钟才能灭活？谢谢！
2	#深圳2名新型肺炎患者痊愈#看到这样的好消息新闻瞬间就觉得这次冠状病毒肺炎也没那么可怕了[赞] ??
2	[黑线][挖鼻]哈哈，这样的福利我非常喜欢[疑问][顶]
2	想把支付宝开奖的钱捐给湖北[心][心]希望支付宝开通此项功能，让大家献爱心，每人贡献一点点#全国确诊新型肺炎病例# @支付宝 ??
2	辛苦了
2	武汉挺[抱抱]
2	[doge][doge][doge][爱你][爱你][爱你]
2	会好起来的???还想去武汉旅游呢！
2	//@菜菜_AM:祝好！//@绍兴黄酒://@游识猷:既要保护自己的身体健康，也要保护自己的情绪健康。
0	#全国确诊新型肺炎病例# http://t.cn/RXnNTiO ??福州
1	这次的疫情，哪家旅游app做的良心，我以后就专门用哪家了。 被扣除了手续费真不爽！ ??
1	没有心么？
3	[泪]
2	棒，争取向你一样早点独立
2	//@X玖少年团肖战DAYTOY:#武汉加油# 加油！我们一直都在！
1	我唯一的新年愿望就是他妈的肺炎全部转移到湖北不作为官员和那些吃野味的人上 这些人死绝了 肺炎消失每天看这些新闻特别不舒服 ??
1	？？您16号发热19号回甘肃您咋想的？给家乡带来传染源？？
2	乖崽[兔子]
2	#武汉加油# 武汉加油，我们在一起我们一起打赢疫情防控战//@朱一龙:#武汉加油#我们在一起[心]
